"country_of_residence","cor_iso3","country_of_origin","coo_iso3","election_date","election_type","registered_voters","total_votes","valid_votes","valid_votes2","null_votes","blanco_votes","invalid_votes","votes_party_1","party_party_1","votes_party_2","party_party_2","votes_party_3","party_party_3","votes_party_4","party_party_4","votes_party_5","party_party_5","votes_party_6","party_party_6","votes_party_7","party_party_7","votes_party_8","party_party_8","votes_party_9","party_party_9","votes_party_10","party_party_10","votes_party_11","party_party_11","votes_party_12","party_party_12","votes_party_13","party_party_13","votes_party_14","party_party_14","votes_party_15","party_party_15","votes_party_16","party_party_16","votes_party_17","party_party_17","votes_party_18","party_party_18","votes_party_19","party_party_19","votes_party_20","party_party_20","votes_party_21","party_party_21","votes_party_22","party_party_22","votes_party_23","party_party_23","votes_party_24","party_party_24","votes_party_25","party_party_25","national_winner","votes_national_winner"
"Paraguay","PRY","Colombia","COL",2002-05-26,"Presidential",NA,50,50,50,0,0,0,38,"PRIMERO COLOMBIA",11,"PARTIDO LIBERAL COLOMBIANO",1,"FRENTE SOC. Y POLT - VIA ALTERNA -",0,"MOV. 19 DE ABRIL",0,"MOV. DEFENSA CIUDADANA",0,"MOV. FUERZA COLOMBIA",0,"MOV. PARTICIPACION COMUN. ""MPC""",0,"MOV. POL.COMUNAL Y COMUNI. COL.",0,"MOV. SI COLOMBIA",0,"PARTIDO VERDE OXIGENO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRIMERO COLOMBIA",38
"Peru","PER","Colombia","COL",2002-05-26,"Presidential",NA,420,415,415,2,3,0,367,"PRIMERO COLOMBIA",21,"PARTIDO LIBERAL COLOMBIANO",16,"MOV. SI COLOMBIA",11,"FRENTE SOC. Y POLT - VIA ALTERNA -",0,"MOV. 19 DE ABRIL",0,"MOV. DEFENSA CIUDADANA",0,"MOV. FUERZA COLOMBIA",0,"MOV. PARTICIPACION COMUN. ""MPC""",0,"MOV. POL.COMUNAL Y COMUNI. COL.",0,"PARTIDO VERDE OXIGENO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRIMERO COLOMBIA",367
"Poland","POL","Colombia","COL",2002-05-26,"Presidential",NA,26,26,26,0,0,0,20,"PRIMERO COLOMBIA",3,"FRENTE SOC. Y POLT - VIA ALTERNA -",2,"PARTIDO LIBERAL COLOMBIANO",1,"MOV. SI COLOMBIA",0,"MOV. 19 DE ABRIL",0,"MOV. DEFENSA CIUDADANA",0,"MOV. FUERZA COLOMBIA",0,"MOV. PARTICIPACION COMUN. ""MPC""",0,"MOV. POL.COMUNAL Y COMUNI. COL.",0,"PARTIDO VERDE OXIGENO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRIMERO COLOMBIA",20
"Portugal","PRT","Colombia","COL",2002-05-26,"Presidential",NA,71,70,70,0,1,0,54,"PRIMERO COLOMBIA",10,"PARTIDO LIBERAL COLOMBIANO",4,"FRENTE SOC. Y POLT - VIA ALTERNA -",2,"MOV. SI COLOMBIA",0,"MOV. 19 DE ABRIL",0,"MOV. DEFENSA CIUDADANA",0,"MOV. FUERZA COLOMBIA",0,"MOV. PARTICIPACION COMUN. ""MPC""",0,"MOV. POL.COMUNAL Y COMUNI. COL.",0,"PARTIDO VERDE OXIGENO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRIMERO COLOMBIA",54
"Puerto Rico","PRI","Colombia","COL",2002-05-26,"Presidential",NA,463,457,457,3,3,0,411,"PRIMERO COLOMBIA",31,"PARTIDO LIBERAL COLOMBIANO",8,"FRENTE SOC. Y POLT - VIA ALTERNA -",5,"MOV. SI COLOMBIA",1,"MOV. PARTICIPACION COMUN. ""MPC""",1,"PARTIDO VERDE OXIGENO",0,"MOV. 19 DE ABRIL",0,"MOV. DEFENSA CIUDADANA",0,"MOV. FUERZA COLOMBIA",0,"MOV. POL.COMUNAL Y COMUNI. COL.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRIMERO COLOMBIA",411
"Dominican Republic","DOM","Colombia","COL",2002-05-26,"Presidential",NA,701,694,694,1,6,0,589,"PRIMERO COLOMBIA",64,"PARTIDO LIBERAL COLOMBIANO",20,"MOV. SI COLOMBIA",19,"FRENTE SOC. Y POLT - VIA ALTERNA -",1,"MOV. DEFENSA CIUDADANA",1,"PARTIDO VERDE OXIGENO",0,"MOV. 19 DE ABRIL",0,"MOV. FUERZA COLOMBIA",0,"MOV. PARTICIPACION COMUN. ""MPC""",0,"MOV. POL.COMUNAL Y COMUNI. COL.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRIMERO COLOMBIA",589
"Romania","ROU","Colombia","COL",2002-05-26,"Presidential",NA,11,11,11,0,0,0,11,"PRIMERO COLOMBIA",0,"FRENTE SOC. Y POLT - VIA ALTERNA -",0,"MOV. 19 DE ABRIL",0,"MOV. DEFENSA CIUDADANA",0,"MOV. FUERZA COLOMBIA",0,"MOV. PARTICIPACION COMUN. ""MPC""",0,"MOV. POL.COMUNAL Y COMUNI. COL.",0,"MOV. SI COLOMBIA",0,"PARTIDO LIBERAL COLOMBIANO",0,"PARTIDO VERDE OXIGENO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRIMERO COLOMBIA",11
"Russia","RUS","Colombia","COL",2002-05-26,"Presidential",NA,32,31,31,0,1,0,18,"PRIMERO COLOMBIA",8,"FRENTE SOC. Y POLT - VIA ALTERNA -",2,"MOV. SI COLOMBIA",2,"PARTIDO LIBERAL COLOMBIANO",1,"PARTIDO VERDE OXIGENO",0,"MOV. 19 DE ABRIL",0,"MOV. DEFENSA CIUDADANA",0,"MOV. FUERZA COLOMBIA",0,"MOV. PARTICIPACION COMUN. ""MPC""",0,"MOV. POL.COMUNAL Y COMUNI. COL.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRIMERO COLOMBIA",18
"South Africa","ZAF","Colombia","COL",2002-05-26,"Presidential",NA,89,44,44,0,1,44,34,"PRIMERO COLOMBIA",4,"FRENTE SOC. Y POLT - VIA ALTERNA -",4,"MOV. SI COLOMBIA",2,"PARTIDO LIBERAL COLOMBIANO",0,"MOV. 19 DE ABRIL",0,"MOV. DEFENSA CIUDADANA",0,"MOV. FUERZA COLOMBIA",0,"MOV. PARTICIPACION COMUN. ""MPC""",0,"MOV. POL.COMUNAL Y COMUNI. COL.",0,"PARTIDO VERDE OXIGENO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRIMERO COLOMBIA",34
"Sweden","SWE","Colombia","COL",2002-05-26,"Presidential",NA,75,75,75,0,0,0,57,"PRIMERO COLOMBIA",7,"FRENTE SOC. Y POLT - VIA ALTERNA -",7,"PARTIDO LIBERAL COLOMBIANO",3,"MOV. SI COLOMBIA",1,"PARTIDO VERDE OXIGENO",0,"MOV. 19 DE ABRIL",0,"MOV. DEFENSA CIUDADANA",0,"MOV. FUERZA COLOMBIA",0,"MOV. PARTICIPACION COMUN. ""MPC""",0,"MOV. POL.COMUNAL Y COMUNI. COL.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRIMERO COLOMBIA",57
"Switzerland","CHE","Colombia","COL",2002-05-26,"Presidential",NA,521,513,513,1,7,0,360,"PRIMERO COLOMBIA",87,"FRENTE SOC. Y POLT - VIA ALTERNA -",41,"PARTIDO LIBERAL COLOMBIANO",13,"MOV. SI COLOMBIA",11,"PARTIDO VERDE OXIGENO",1,"MOV. FUERZA COLOMBIA",0,"MOV. 19 DE ABRIL",0,"MOV. DEFENSA CIUDADANA",0,"MOV. PARTICIPACION COMUN. ""MPC""",0,"MOV. POL.COMUNAL Y COMUNI. COL.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRIMERO COLOMBIA",360
"Trinidad & Tobago","TTO","Colombia","COL",2002-05-26,"Presidential",NA,21,21,21,0,0,0,14,"PRIMERO COLOMBIA",6,"PARTIDO LIBERAL COLOMBIANO",1,"MOV. SI COLOMBIA",0,"FRENTE SOC. Y POLT - VIA ALTERNA -",0,"MOV. 19 DE ABRIL",0,"MOV. DEFENSA CIUDADANA",0,"MOV. FUERZA COLOMBIA",0,"MOV. PARTICIPACION COMUN. ""MPC""",0,"MOV. POL.COMUNAL Y COMUNI. COL.",0,"PARTIDO VERDE OXIGENO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRIMERO COLOMBIA",14
"Uruguay","URY","Colombia","COL",2002-05-26,"Presidential",NA,89,88,88,0,1,0,59,"PRIMERO COLOMBIA",19,"PARTIDO LIBERAL COLOMBIANO",5,"MOV. SI COLOMBIA",3,"FRENTE SOC. Y POLT - VIA ALTERNA -",1,"MOV. FUERZA COLOMBIA",1,"PARTIDO VERDE OXIGENO",0,"MOV. 19 DE ABRIL",0,"MOV. DEFENSA CIUDADANA",0,"MOV. PARTICIPACION COMUN. ""MPC""",0,"MOV. POL.COMUNAL Y COMUNI. COL.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRIMERO COLOMBIA",59
"Venezuela","VEN","Colombia","COL",2002-05-26,"Presidential",NA,16896,16686,16686,134,64,12,12673,"PRIMERO COLOMBIA",3227,"PARTIDO LIBERAL COLOMBIANO",454,"MOV. SI COLOMBIA",168,"FRENTE SOC. Y POLT - VIA ALTERNA -",51,"MOV. 19 DE ABRIL",35,"PARTIDO VERDE OXIGENO",30,"MOV. FUERZA COLOMBIA",21,"MOV. PARTICIPACION COMUN. ""MPC""",17,"MOV. DEFENSA CIUDADANA",10,"MOV. POL.COMUNAL Y COMUNI. COL.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRIMERO COLOMBIA",12673
"Aruba","ABW","Colombia","COL",2014-03-09,"Legislative",NA,254,137,137,45,44,28,34,"PARTIDO DE LA U",24,"PARTIDO CAMBIO RADICAL",20,"PARTIDO CONSERVADOR COLOMBIANO",15,"PARTIDO LIBERAL COLOMBIANO",13,"PARTIDO ALIANZA VERDE",13,"MOVIMIENTO  MIRA",12,"POLO DEMOCRATICO ALTERNATIVO",3,"PARTIDO UNION PATRIOTICA UP",2,"PARTIDO ALIANZA SOCIAL INDEPENDIENTE",1,"PARTIDO OPCION CIUDADANA",0,"MOVIMIENTO DE INCLUSIÃ?N Y OPORTUNIDADES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PARTIDO DE LA U",34
"Australia","AUS","Colombia","COL",2014-03-09,"Legislative",NA,371,201,201,57,111,2,55,"PARTIDO ALIANZA VERDE",31,"POLO DEMOCRATICO ALTERNATIVO",29,"PARTIDO CAMBIO RADICAL",28,"PARTIDO CONSERVADOR COLOMBIANO",17,"PARTIDO DE LA U",16,"MOVIMIENTO  MIRA",13,"PARTIDO LIBERAL COLOMBIANO",9,"PARTIDO UNION PATRIOTICA UP",2,"PARTIDO OPCION CIUDADANA",1,"PARTIDO ALIANZA SOCIAL INDEPENDIENTE",0,"MOVIMIENTO DE INCLUSIÃ?N Y OPORTUNIDADES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PARTIDO DE LA U",17
"Austria","AUT","Colombia","COL",2014-03-09,"Legislative",NA,103,64,64,10,29,0,19,"PARTIDO ALIANZA VERDE",15,"MOVIMIENTO  MIRA",13,"POLO DEMOCRATICO ALTERNATIVO",9,"PARTIDO DE LA U",6,"PARTIDO UNION PATRIOTICA UP",2,"PARTIDO LIBERAL COLOMBIANO",0,"PARTIDO CONSERVADOR COLOMBIANO",0,"PARTIDO OPCION CIUDADANA",0,"PARTIDO CAMBIO RADICAL",0,"PARTIDO ALIANZA SOCIAL INDEPENDIENTE",0,"MOVIMIENTO DE INCLUSIÃ?N Y OPORTUNIDADES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PARTIDO DE LA U",9
"Belgium","BEL","Colombia","COL",2014-03-09,"Legislative",NA,243,170,170,18,51,4,67,"POLO DEMOCRATICO ALTERNATIVO",27,"PARTIDO UNION PATRIOTICA UP",23,"PARTIDO ALIANZA VERDE",14,"PARTIDO DE LA U",12,"PARTIDO CONSERVADOR COLOMBIANO",9,"PARTIDO LIBERAL COLOMBIANO",9,"MOVIMIENTO  MIRA",8,"PARTIDO CAMBIO RADICAL",1,"PARTIDO OPCION CIUDADANA",0,"PARTIDO ALIANZA SOCIAL INDEPENDIENTE",0,"MOVIMIENTO DE INCLUSIÃ?N Y OPORTUNIDADES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PARTIDO DE LA U",14
"Bolivia","BOL","Colombia","COL",2014-03-09,"Legislative",NA,93,65,65,17,11,0,27,"MOVIMIENTO  MIRA",12,"PARTIDO DE LA U",6,"PARTIDO CONSERVADOR COLOMBIANO",5,"PARTIDO LIBERAL COLOMBIANO",5,"PARTIDO CAMBIO RADICAL",4,"POLO DEMOCRATICO ALTERNATIVO",3,"PARTIDO ALIANZA VERDE",2,"PARTIDO OPCION CIUDADANA",1,"PARTIDO UNION PATRIOTICA UP",0,"PARTIDO ALIANZA SOCIAL INDEPENDIENTE",0,"MOVIMIENTO DE INCLUSIÃ?N Y OPORTUNIDADES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PARTIDO DE LA U",12
"Brazil","BRA","Colombia","COL",2014-03-09,"Legislative",NA,103,64,64,14,25,0,18,"POLO DEMOCRATICO ALTERNATIVO",9,"PARTIDO DE LA U",8,"PARTIDO CONSERVADOR COLOMBIANO",7,"PARTIDO ALIANZA VERDE",6,"PARTIDO LIBERAL COLOMBIANO",6,"PARTIDO OPCION CIUDADANA",6,"PARTIDO CAMBIO RADICAL",3,"PARTIDO UNION PATRIOTICA UP",1,"MOVIMIENTO  MIRA",0,"PARTIDO ALIANZA SOCIAL INDEPENDIENTE",0,"MOVIMIENTO DE INCLUSIÃ?N Y OPORTUNIDADES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PARTIDO DE LA U",9
"Canada","CAN","Colombia","COL",2014-03-09,"Legislative",NA,1296,717,717,227,310,42,190,"MOVIMIENTO  MIRA",134,"POLO DEMOCRATICO ALTERNATIVO",120,"PARTIDO ALIANZA VERDE",73,"PARTIDO DE LA U",64,"PARTIDO CONSERVADOR COLOMBIANO",50,"PARTIDO LIBERAL COLOMBIANO",40,"PARTIDO CAMBIO RADICAL",34,"PARTIDO UNION PATRIOTICA UP",5,"PARTIDO OPCION CIUDADANA",5,"MOVIMIENTO DE INCLUSIÃ?N Y OPORTUNIDADES",2,"PARTIDO ALIANZA SOCIAL INDEPENDIENTE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PARTIDO DE LA U",73
"Chile","CHL","Colombia","COL",2014-03-09,"Legislative",NA,652,444,444,79,122,7,231,"MOVIMIENTO  MIRA",39,"PARTIDO DE LA U",35,"PARTIDO CONSERVADOR COLOMBIANO",34,"PARTIDO ALIANZA VERDE",29,"POLO DEMOCRATICO ALTERNATIVO",27,"PARTIDO CAMBIO RADICAL",21,"PARTIDO LIBERAL COLOMBIANO",16,"PARTIDO UNION PATRIOTICA UP",8,"PARTIDO OPCION CIUDADANA",3,"PARTIDO ALIANZA SOCIAL INDEPENDIENTE",1,"MOVIMIENTO DE INCLUSIÃ?N Y OPORTUNIDADES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PARTIDO DE LA U",39
"China","CHN","Colombia","COL",2014-03-09,"Legislative",NA,76,48,48,4,24,0,10,"PARTIDO DE LA U",8,"PARTIDO ALIANZA VERDE",7,"POLO DEMOCRATICO ALTERNATIVO",6,"PARTIDO CONSERVADOR COLOMBIANO",5,"PARTIDO UNION PATRIOTICA UP",4,"PARTIDO LIBERAL COLOMBIANO",4,"PARTIDO CAMBIO RADICAL",3,"MOVIMIENTO  MIRA",1,"PARTIDO ALIANZA SOCIAL INDEPENDIENTE",0,"PARTIDO OPCION CIUDADANA",0,"MOVIMIENTO DE INCLUSIÃ?N Y OPORTUNIDADES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PARTIDO DE LA U",10
"Costa Rica","CRI","Colombia","COL",2014-03-09,"Legislative",NA,595,394,394,87,90,24,166,"MOVIMIENTO  MIRA",69,"PARTIDO CONSERVADOR COLOMBIANO",49,"PARTIDO DE LA U",38,"PARTIDO ALIANZA VERDE",23,"PARTIDO LIBERAL COLOMBIANO",15,"PARTIDO CAMBIO RADICAL",15,"POLO DEMOCRATICO ALTERNATIVO",9,"PARTIDO UNION PATRIOTICA UP",5,"PARTIDO OPCION CIUDADANA",5,"PARTIDO ALIANZA SOCIAL INDEPENDIENTE",0,"MOVIMIENTO DE INCLUSIÃ?N Y OPORTUNIDADES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PARTIDO DE LA U",49
"Cuba","CUB","Colombia","COL",2014-03-09,"Legislative",NA,14,9,9,2,3,0,3,"PARTIDO LIBERAL COLOMBIANO",3,"PARTIDO ALIANZA VERDE",2,"POLO DEMOCRATICO ALTERNATIVO",1,"PARTIDO UNION PATRIOTICA UP",0,"PARTIDO CONSERVADOR COLOMBIANO",0,"PARTIDO OPCION CIUDADANA",0,"PARTIDO CAMBIO RADICAL",0,"PARTIDO ALIANZA SOCIAL INDEPENDIENTE",0,"MOVIMIENTO  MIRA",0,"PARTIDO DE LA U",0,"MOVIMIENTO DE INCLUSIÃ?N Y OPORTUNIDADES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PARTIDO DE LA U",0
"Curaçao","CUW","Colombia","COL",2014-03-09,"Legislative",NA,109,62,62,21,22,4,16,"PARTIDO CONSERVADOR COLOMBIANO",12,"MOVIMIENTO  MIRA",8,"PARTIDO ALIANZA VERDE",8,"PARTIDO DE LA U",6,"PARTIDO LIBERAL COLOMBIANO",5,"PARTIDO CAMBIO RADICAL",5,"POLO DEMOCRATICO ALTERNATIVO",2,"PARTIDO UNION PATRIOTICA UP",0,"PARTIDO OPCION CIUDADANA",0,"PARTIDO ALIANZA SOCIAL INDEPENDIENTE",0,"MOVIMIENTO DE INCLUSIÃ?N Y OPORTUNIDADES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PARTIDO DE LA U",8
"Denmark","DNK","Colombia","COL",2014-03-09,"Legislative",NA,18,16,16,1,1,0,8,"MOVIMIENTO  MIRA",5,"PARTIDO ALIANZA VERDE",2,"POLO DEMOCRATICO ALTERNATIVO",1,"PARTIDO CAMBIO RADICAL",0,"PARTIDO LIBERAL COLOMBIANO",0,"PARTIDO CONSERVADOR COLOMBIANO",0,"PARTIDO OPCION CIUDADANA",0,"PARTIDO ALIANZA SOCIAL INDEPENDIENTE",0,"PARTIDO DE LA U",0,"PARTIDO UNION PATRIOTICA UP",0,"MOVIMIENTO DE INCLUSIÃ?N Y OPORTUNIDADES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PARTIDO DE LA U",0
"Dominican Republic","DOM","Colombia","COL",2014-03-09,"Legislative",NA,241,144,144,30,57,10,60,"MOVIMIENTO  MIRA",27,"PARTIDO DE LA U",16,"PARTIDO CONSERVADOR COLOMBIANO",11,"PARTIDO ALIANZA VERDE",9,"PARTIDO CAMBIO RADICAL",8,"PARTIDO LIBERAL COLOMBIANO",6,"POLO DEMOCRATICO ALTERNATIVO",4,"PARTIDO OPCION CIUDADANA",3,"PARTIDO UNION PATRIOTICA UP",0,"PARTIDO ALIANZA SOCIAL INDEPENDIENTE",0,"MOVIMIENTO DE INCLUSIÃ?N Y OPORTUNIDADES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PARTIDO DE LA U",27
"Ecuador","ECU","Colombia","COL",2014-03-09,"Legislative",NA,1874,1398,1398,307,122,47,861,"MOVIMIENTO  MIRA",143,"PARTIDO DE LA U",131,"PARTIDO CONSERVADOR COLOMBIANO",57,"PARTIDO CAMBIO RADICAL",56,"POLO DEMOCRATICO ALTERNATIVO",55,"PARTIDO LIBERAL COLOMBIANO",54,"PARTIDO ALIANZA VERDE",26,"PARTIDO UNION PATRIOTICA UP",6,"PARTIDO OPCION CIUDADANA",5,"MOVIMIENTO DE INCLUSIÃ?N Y OPORTUNIDADES",4,"PARTIDO ALIANZA SOCIAL INDEPENDIENTE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PARTIDO DE LA U",143
"Egypt","EGY","Colombia","COL",2014-03-09,"Legislative",NA,13,9,9,2,2,0,4,"PARTIDO CAMBIO RADICAL",2,"PARTIDO LIBERAL COLOMBIANO",2,"POLO DEMOCRATICO ALTERNATIVO",1,"PARTIDO UNION PATRIOTICA UP",0,"PARTIDO CONSERVADOR COLOMBIANO",0,"PARTIDO OPCION CIUDADANA",0,"PARTIDO ALIANZA VERDE",0,"PARTIDO ALIANZA SOCIAL INDEPENDIENTE",0,"MOVIMIENTO  MIRA",0,"PARTIDO DE LA U",0,"MOVIMIENTO DE INCLUSIÃ?N Y OPORTUNIDADES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PARTIDO DE LA U",0
"El Salvador","SLV","Colombia","COL",2014-03-09,"Legislative",NA,82,61,61,3,18,0,17,"PARTIDO ALIANZA VERDE",17,"PARTIDO DE LA U",9,"PARTIDO CONSERVADOR COLOMBIANO",7,"PARTIDO LIBERAL COLOMBIANO",6,"PARTIDO CAMBIO RADICAL",3,"POLO DEMOCRATICO ALTERNATIVO",2,"PARTIDO UNION PATRIOTICA UP",0,"PARTIDO OPCION CIUDADANA",0,"PARTIDO ALIANZA SOCIAL INDEPENDIENTE",0,"MOVIMIENTO  MIRA",0,"MOVIMIENTO DE INCLUSIÃ?N Y OPORTUNIDADES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PARTIDO DE LA U",17
"UK","GBR","Colombia","COL",2014-03-09,"Legislative",NA,690,456,456,94,122,18,171,"MOVIMIENTO  MIRA",49,"PARTIDO UNION PATRIOTICA UP",45,"POLO DEMOCRATICO ALTERNATIVO",44,"PARTIDO CONSERVADOR COLOMBIANO",43,"PARTIDO DE LA U",42,"PARTIDO ALIANZA VERDE",32,"PARTIDO LIBERAL COLOMBIANO",21,"PARTIDO CAMBIO RADICAL",5,"PARTIDO OPCION CIUDADANA",3,"PARTIDO ALIANZA SOCIAL INDEPENDIENTE",1,"MOVIMIENTO DE INCLUSIÃ?N Y OPORTUNIDADES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PARTIDO DE LA U",43
"Finland","FIN","Colombia","COL",2014-03-09,"Legislative",NA,18,9,9,3,6,0,3,"PARTIDO ALIANZA VERDE",3,"POLO DEMOCRATICO ALTERNATIVO",2,"PARTIDO CONSERVADOR COLOMBIANO",1,"MOVIMIENTO  MIRA",0,"PARTIDO LIBERAL COLOMBIANO",0,"PARTIDO OPCION CIUDADANA",0,"PARTIDO CAMBIO RADICAL",0,"PARTIDO ALIANZA SOCIAL INDEPENDIENTE",0,"PARTIDO DE LA U",0,"PARTIDO UNION PATRIOTICA UP",0,"MOVIMIENTO DE INCLUSIÃ?N Y OPORTUNIDADES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PARTIDO DE LA U",0
"France","FRA","Colombia","COL",2014-03-09,"Legislative",NA,873,667,667,61,132,13,232,"POLO DEMOCRATICO ALTERNATIVO",135,"MOVIMIENTO  MIRA",109,"PARTIDO ALIANZA VERDE",63,"PARTIDO UNION PATRIOTICA UP",59,"PARTIDO DE LA U",30,"PARTIDO CONSERVADOR COLOMBIANO",18,"PARTIDO LIBERAL COLOMBIANO",15,"PARTIDO CAMBIO RADICAL",3,"PARTIDO OPCION CIUDADANA",2,"PARTIDO ALIANZA SOCIAL INDEPENDIENTE",1,"MOVIMIENTO DE INCLUSIÃ?N Y OPORTUNIDADES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PARTIDO DE LA U",59
