"country","country_of_origin","election_date","election_type","registered_voters","total_votes","valid_votes","null_votes","blanco_votes","invalid_votes","votes_party_1","party_party_1","votes_party_2","party_party_2","votes_party_3","party_party_3","votes_party_4","party_party_4","votes_party_5","party_party_5","votes_party_6","party_party_6","votes_party_7","party_party_7","votes_party_8","party_party_8","votes_party_9","party_party_9","votes_party_10","party_party_10","votes_party_11","party_party_11","votes_party_12","party_party_12","votes_party_13","party_party_13","votes_party_14","party_party_14","votes_party_15","party_party_15","votes_party_16","party_party_16","votes_party_17","party_party_17","votes_party_18","party_party_18","votes_party_19","party_party_19","votes_party_20","party_party_20","votes_party_21","party_party_21","votes_party_22","party_party_22","votes_party_23","party_party_23","votes_party_24","party_party_24","votes_party_25","party_party_25","votes_party_26","party_party_26","votes_party_27","party_party_27","votes_party_28","party_party_28","votes_party_29","party_party_29","votes_party_30","party_party_30","votes_party_31","party_party_31","votes_party_32","party_party_32","votes_party_33","party_party_33","votes_party_34","party_party_34","votes_party_35","party_party_35","votes_party_36","party_party_36","votes_party_37","party_party_37","votes_party_38","party_party_38","votes_party_39","party_party_39","votes_party_40","party_party_40","votes_party_41","party_party_41","votes_party_42","party_party_42","votes_party_43","party_party_43","votes_party_44","party_party_44","votes_party_45","party_party_45","national_winner","votes_national_winner"
"Brazil","Poland",2005-09-25,"Legislative",193,160,151,NA,NA,9,45,"8 - Platforma Obywatelska",29,"6 - Prawo i Sprawiedliwosc",18,"1 - Ruch Patriotyczny",18,"3 - Liga Polskich Rodzin",11,"4 - Partia Demokratyczna",9,"7 - Sojusz Lewicy Demokratycznej",4,"13 - Ogolnopolska Koalicja Obywatelska O.K.O.",3,"5 - Socjaldemokracja Polska",2,"2 - Polska Partia Pracy",2,"10 - Polskie Stronnictwo Ludowe",2,"11 - Centrum",2,"12 - Platforma Janusza Korwin-Mikke",2,"15 - Samoobrona RP",1,"9 - Polska Partia Narodowa",1,"16 - Inicjatywa RP",1,"17 - Dom Ojczysty",1,"18 - Narodowe Odrodzenie Polski",0,"14 - Polska Konfederacja - Godnosc i Praca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6 - Prawo i Sprawiedliwosc",29
"Bulgaria","Poland",2005-09-25,"Legislative",395,282,271,NA,NA,11,119,"8 - Platforma Obywatelska",47,"7 - Sojusz Lewicy Demokratycznej",38,"6 - Prawo i Sprawiedliwosc",22,"4 - Partia Demokratyczna",12,"5 - Socjaldemokracja Polska",10,"3 - Liga Polskich Rodzin",7,"15 - Samoobrona RP",6,"1 - Ruch Patriotyczny",6,"12 - Platforma Janusza Korwin-Mikke",3,"2 - Polska Partia Pracy",1,"13 - Ogolnopolska Koalicja Obywatelska O.K.O.",0,"9 - Polska Partia Narodowa",0,"10 - Polskie Stronnictwo Ludowe",0,"11 - Centrum",0,"14 - Polska Konfederacja - Godnosc i Praca",0,"16 - Inicjatywa RP",0,"17 - Dom Ojczysty",0,"18 - Narodowe Odrodzenie Polski",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6 - Prawo i Sprawiedliwosc",38
"Canada","Poland",2005-09-25,"Legislative",2445,1934,1892,NA,NA,42,685,"6 - Prawo i Sprawiedliwosc",567,"3 - Liga Polskich Rodzin",410,"8 - Platforma Obywatelska",51,"4 - Partia Demokratyczna",43,"7 - Sojusz Lewicy Demokratycznej",37,"5 - Socjaldemokracja Polska",32,"1 - Ruch Patriotyczny",29,"12 - Platforma Janusza Korwin-Mikke",16,"15 - Samoobrona RP",12,"10 - Polskie Stronnictwo Ludowe",6,"9 - Polska Partia Narodowa",2,"13 - Ogolnopolska Koalicja Obywatelska O.K.O.",1,"14 - Polska Konfederacja - Godnosc i Praca",1,"18 - Narodowe Odrodzenie Polski",0,"2 - Polska Partia Pracy",0,"11 - Centrum",0,"16 - Inicjatywa RP",0,"17 - Dom Ojczysty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6 - Prawo i Sprawiedliwosc",685
"Chile","Poland",2005-09-25,"Legislative",57,28,28,NA,NA,0,12,"8 - Platforma Obywatelska",5,"6 - Prawo i Sprawiedliwosc",3,"4 - Partia Demokratyczna",2,"3 - Liga Polskich Rodzin",2,"7 - Sojusz Lewicy Demokratycznej",1,"2 - Polska Partia Pracy",1,"5 - Socjaldemokracja Polska",1,"12 - Platforma Janusza Korwin-Mikke",1,"14 - Polska Konfederacja - Godnosc i Praca",0,"1 - Ruch Patriotyczny",0,"9 - Polska Partia Narodowa",0,"10 - Polskie Stronnictwo Ludowe",0,"11 - Centrum",0,"13 - Ogolnopolska Koalicja Obywatelska O.K.O.",0,"15 - Samoobrona RP",0,"16 - Inicjatywa RP",0,"17 - Dom Ojczysty",0,"18 - Narodowe Odrodzenie Polski",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6 - Prawo i Sprawiedliwosc",5
"China","Poland",2005-09-25,"Legislative",331,279,266,NA,NA,13,159,"8 - Platforma Obywatelska",32,"7 - Sojusz Lewicy Demokratycznej",29,"6 - Prawo i Sprawiedliwosc",19,"4 - Partia Demokratyczna",13,"5 - Socjaldemokracja Polska",7,"12 - Platforma Janusza Korwin-Mikke",3,"3 - Liga Polskich Rodzin",2,"1 - Ruch Patriotyczny",1,"13 - Ogolnopolska Koalicja Obywatelska O.K.O.",1,"15 - Samoobrona RP",0,"2 - Polska Partia Pracy",0,"9 - Polska Partia Narodowa",0,"10 - Polskie Stronnictwo Ludowe",0,"11 - Centrum",0,"14 - Polska Konfederacja - Godnosc i Praca",0,"16 - Inicjatywa RP",0,"17 - Dom Ojczysty",0,"18 - Narodowe Odrodzenie Polski",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6 - Prawo i Sprawiedliwosc",29
"Colombia","Poland",2005-09-25,"Legislative",374,72,68,NA,NA,4,27,"8 - Platforma Obywatelska",14,"4 - Partia Demokratyczna",9,"7 - Sojusz Lewicy Demokratycznej",4,"5 - Socjaldemokracja Polska",4,"6 - Prawo i Sprawiedliwosc",3,"11 - Centrum",2,"1 - Ruch Patriotyczny",2,"10 - Polskie Stronnictwo Ludowe",1,"12 - Platforma Janusza Korwin-Mikke",1,"13 - Ogolnopolska Koalicja Obywatelska O.K.O.",1,"18 - Narodowe Odrodzenie Polski",0,"2 - Polska Partia Pracy",0,"3 - Liga Polskich Rodzin",0,"9 - Polska Partia Narodowa",0,"14 - Polska Konfederacja - Godnosc i Praca",0,"15 - Samoobrona RP",0,"16 - Inicjatywa RP",0,"17 - Dom Ojczysty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6 - Prawo i Sprawiedliwosc",4
"Congo - Brazzaville","Poland",2005-09-25,"Legislative",26,20,20,NA,NA,0,10,"6 - Prawo i Sprawiedliwosc",3,"7 - Sojusz Lewicy Demokratycznej",2,"2 - Polska Partia Pracy",2,"8 - Platforma Obywatelska",1,"1 - Ruch Patriotyczny",1,"3 - Liga Polskich Rodzin",1,"4 - Partia Demokratyczna",0,"5 - Socjaldemokracja Polska",0,"9 - Polska Partia Narodowa",0,"10 - Polskie Stronnictwo Ludowe",0,"11 - Centrum",0,"12 - Platforma Janusza Korwin-Mikke",0,"13 - Ogolnopolska Koalicja Obywatelska O.K.O.",0,"14 - Polska Konfederacja - Godnosc i Praca",0,"15 - Samoobrona RP",0,"16 - Inicjatywa RP",0,"17 - Dom Ojczysty",0,"18 - Narodowe Odrodzenie Polski",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6 - Prawo i Sprawiedliwosc",10
"Costa Rica","Poland",2005-09-25,"Legislative",103,27,25,NA,NA,2,6,"7 - Sojusz Lewicy Demokratycznej",5,"2 - Polska Partia Pracy",4,"6 - Prawo i Sprawiedliwosc",3,"8 - Platforma Obywatelska",2,"4 - Partia Demokratyczna",2,"5 - Socjaldemokracja Polska",1,"9 - Polska Partia Narodowa",1,"11 - Centrum",1,"14 - Polska Konfederacja - Godnosc i Praca",0,"1 - Ruch Patriotyczny",0,"3 - Liga Polskich Rodzin",0,"10 - Polskie Stronnictwo Ludowe",0,"12 - Platforma Janusza Korwin-Mikke",0,"13 - Ogolnopolska Koalicja Obywatelska O.K.O.",0,"15 - Samoobrona RP",0,"16 - Inicjatywa RP",0,"17 - Dom Ojczysty",0,"18 - Narodowe Odrodzenie Polski",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6 - Prawo i Sprawiedliwosc",4
"Croatia","Poland",2005-09-25,"Legislative",85,77,74,NA,NA,3,30,"8 - Platforma Obywatelska",11,"7 - Sojusz Lewicy Demokratycznej",10,"4 - Partia Demokratyczna",10,"6 - Prawo i Sprawiedliwosc",4,"3 - Liga Polskich Rodzin",4,"5 - Socjaldemokracja Polska",4,"12 - Platforma Janusza Korwin-Mikke",1,"13 - Ogolnopolska Koalicja Obywatelska O.K.O.",0,"1 - Ruch Patriotyczny",0,"2 - Polska Partia Pracy",0,"9 - Polska Partia Narodowa",0,"10 - Polskie Stronnictwo Ludowe",0,"11 - Centrum",0,"14 - Polska Konfederacja - Godnosc i Praca",0,"15 - Samoobrona RP",0,"16 - Inicjatywa RP",0,"17 - Dom Ojczysty",0,"18 - Narodowe Odrodzenie Polski",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6 - Prawo i Sprawiedliwosc",10
"Cuba","Poland",2005-09-25,"Legislative",85,42,41,NA,NA,1,9,"6 - Prawo i Sprawiedliwosc",7,"8 - Platforma Obywatelska",6,"4 - Partia Demokratyczna",6,"7 - Sojusz Lewicy Demokratycznej",4,"5 - Socjaldemokracja Polska",2,"1 - Ruch Patriotyczny",2,"3 - Liga Polskich Rodzin",1,"2 - Polska Partia Pracy",1,"9 - Polska Partia Narodowa",1,"10 - Polskie Stronnictwo Ludowe",1,"11 - Centrum",1,"17 - Dom Ojczysty",0,"12 - Platforma Janusza Korwin-Mikke",0,"13 - Ogolnopolska Koalicja Obywatelska O.K.O.",0,"14 - Polska Konfederacja - Godnosc i Praca",0,"15 - Samoobrona RP",0,"16 - Inicjatywa RP",0,"18 - Narodowe Odrodzenie Polski",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6 - Prawo i Sprawiedliwosc",9
"Cyprus","Poland",2005-09-25,"Legislative",70,68,68,NA,NA,0,39,"8 - Platforma Obywatelska",8,"6 - Prawo i Sprawiedliwosc",8,"7 - Sojusz Lewicy Demokratycznej",5,"5 - Socjaldemokracja Polska",3,"4 - Partia Demokratyczna",2,"12 - Platforma Janusza Korwin-Mikke",1,"1 - Ruch Patriotyczny",1,"3 - Liga Polskich Rodzin",1,"15 - Samoobrona RP",0,"2 - Polska Partia Pracy",0,"9 - Polska Partia Narodowa",0,"10 - Polskie Stronnictwo Ludowe",0,"11 - Centrum",0,"13 - Ogolnopolska Koalicja Obywatelska O.K.O.",0,"14 - Polska Konfederacja - Godnosc i Praca",0,"16 - Inicjatywa RP",0,"17 - Dom Ojczysty",0,"18 - Narodowe Odrodzenie Polski",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6 - Prawo i Sprawiedliwosc",8
"Czechia","Poland",2005-09-25,"Legislative",447,400,394,NA,NA,6,186,"8 - Platforma Obywatelska",57,"6 - Prawo i Sprawiedliwosc",47,"7 - Sojusz Lewicy Demokratycznej",37,"4 - Partia Demokratyczna",23,"5 - Socjaldemokracja Polska",22,"3 - Liga Polskich Rodzin",9,"12 - Platforma Janusza Korwin-Mikke",5,"1 - Ruch Patriotyczny",4,"10 - Polskie Stronnictwo Ludowe",3,"2 - Polska Partia Pracy",1,"9 - Polska Partia Narodowa",0,"11 - Centrum",0,"13 - Ogolnopolska Koalicja Obywatelska O.K.O.",0,"14 - Polska Konfederacja - Godnosc i Praca",0,"15 - Samoobrona RP",0,"16 - Inicjatywa RP",0,"17 - Dom Ojczysty",0,"18 - Narodowe Odrodzenie Polski",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6 - Prawo i Sprawiedliwosc",57
"Denmark","Poland",2005-09-25,"Legislative",618,411,400,NA,NA,11,172,"8 - Platforma Obywatelska",82,"6 - Prawo i Sprawiedliwosc",39,"4 - Partia Demokratyczna",35,"7 - Sojusz Lewicy Demokratycznej",19,"3 - Liga Polskich Rodzin",15,"12 - Platforma Janusza Korwin-Mikke",14,"5 - Socjaldemokracja Polska",10,"15 - Samoobrona RP",5,"10 - Polskie Stronnictwo Ludowe",3,"1 - Ruch Patriotyczny",2,"18 - Narodowe Odrodzenie Polski",1,"2 - Polska Partia Pracy",1,"9 - Polska Partia Narodowa",1,"13 - Ogolnopolska Koalicja Obywatelska O.K.O.",1,"17 - Dom Ojczysty",0,"11 - Centrum",0,"14 - Polska Konfederacja - Godnosc i Praca",0,"16 - Inicjatywa RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6 - Prawo i Sprawiedliwosc",82
"Egypt","Poland",2005-09-25,"Legislative",161,104,99,NA,NA,5,44,"8 - Platforma Obywatelska",20,"6 - Prawo i Sprawiedliwosc",8,"5 - Socjaldemokracja Polska",7,"3 - Liga Polskich Rodzin",6,"4 - Partia Demokratyczna",4,"2 - Polska Partia Pracy",3,"7 - Sojusz Lewicy Demokratycznej",3,"12 - Platforma Janusza Korwin-Mikke",2,"10 - Polskie Stronnictwo Ludowe",1,"1 - Ruch Patriotyczny",1,"13 - Ogolnopolska Koalicja Obywatelska O.K.O.",0,"9 - Polska Partia Narodowa",0,"11 - Centrum",0,"14 - Polska Konfederacja - Godnosc i Praca",0,"15 - Samoobrona RP",0,"16 - Inicjatywa RP",0,"17 - Dom Ojczysty",0,"18 - Narodowe Odrodzenie Polski",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6 - Prawo i Sprawiedliwosc",20
"Estonia","Poland",2005-09-25,"Legislative",61,55,54,NA,NA,1,18,"8 - Platforma Obywatelska",10,"6 - Prawo i Sprawiedliwosc",7,"3 - Liga Polskich Rodzin",6,"7 - Sojusz Lewicy Demokratycznej",5,"4 - Partia Demokratyczna",3,"1 - Ruch Patriotyczny",2,"5 - Socjaldemokracja Polska",2,"14 - Polska Konfederacja - Godnosc i Praca",1,"2 - Polska Partia Pracy",0,"9 - Polska Partia Narodowa",0,"10 - Polskie Stronnictwo Ludowe",0,"11 - Centrum",0,"12 - Platforma Janusza Korwin-Mikke",0,"13 - Ogolnopolska Koalicja Obywatelska O.K.O.",0,"15 - Samoobrona RP",0,"16 - Inicjatywa RP",0,"17 - Dom Ojczysty",0,"18 - Narodowe Odrodzenie Polski",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6 - Prawo i Sprawiedliwosc",10
"Finland","Poland",2005-09-25,"Legislative",150,137,132,NA,NA,5,74,"8 - Platforma Obywatelska",14,"4 - Partia Demokratyczna",13,"5 - Socjaldemokracja Polska",13,"6 - Prawo i Sprawiedliwosc",9,"7 - Sojusz Lewicy Demokratycznej",4,"3 - Liga Polskich Rodzin",2,"1 - Ruch Patriotyczny",2,"12 - Platforma Janusza Korwin-Mikke",1,"10 - Polskie Stronnictwo Ludowe",0,"2 - Polska Partia Pracy",0,"9 - Polska Partia Narodowa",0,"11 - Centrum",0,"13 - Ogolnopolska Koalicja Obywatelska O.K.O.",0,"14 - Polska Konfederacja - Godnosc i Praca",0,"15 - Samoobrona RP",0,"16 - Inicjatywa RP",0,"17 - Dom Ojczysty",0,"18 - Narodowe Odrodzenie Polski",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6 - Prawo i Sprawiedliwosc",13
"France","Poland",2005-09-25,"Legislative",3210,2555,2525,NA,NA,30,970,"8 - Platforma Obywatelska",842,"6 - Prawo i Sprawiedliwosc",199,"4 - Partia Demokratyczna",172,"3 - Liga Polskich Rodzin",96,"7 - Sojusz Lewicy Demokratycznej",93,"5 - Socjaldemokracja Polska",64,"12 - Platforma Janusza Korwin-Mikke",29,"1 - Ruch Patriotyczny",25,"10 - Polskie Stronnictwo Ludowe",14,"15 - Samoobrona RP",10,"2 - Polska Partia Pracy",4,"9 - Polska Partia Narodowa",2,"11 - Centrum",2,"17 - Dom Ojczysty",2,"18 - Narodowe Odrodzenie Polski",1,"14 - Polska Konfederacja - Godnosc i Praca",0,"13 - Ogolnopolska Koalicja Obywatelska O.K.O.",0,"16 - Inicjatywa RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6 - Prawo i Sprawiedliwosc",842
"Georgia","Poland",2005-09-25,"Legislative",34,32,30,NA,NA,2,14,"8 - Platforma Obywatelska",6,"4 - Partia Demokratyczna",3,"12 - Platforma Janusza Korwin-Mikke",2,"3 - Liga Polskich Rodzin",2,"5 - Socjaldemokracja Polska",2,"6 - Prawo i Sprawiedliwosc",1,"7 - Sojusz Lewicy Demokratycznej",0,"1 - Ruch Patriotyczny",0,"2 - Polska Partia Pracy",0,"9 - Polska Partia Narodowa",0,"10 - Polskie Stronnictwo Ludowe",0,"11 - Centrum",0,"13 - Ogolnopolska Koalicja Obywatelska O.K.O.",0,"14 - Polska Konfederacja - Godnosc i Praca",0,"15 - Samoobrona RP",0,"16 - Inicjatywa RP",0,"17 - Dom Ojczysty",0,"18 - Narodowe Odrodzenie Polski",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6 - Prawo i Sprawiedliwosc",2
"Germany","Poland",2005-09-25,"Legislative",5376,4199,4139,NA,NA,60,1759,"8 - Platforma Obywatelska",1112,"6 - Prawo i Sprawiedliwosc",337,"3 - Liga Polskich Rodzin",296,"4 - Partia Demokratyczna",220,"7 - Sojusz Lewicy Demokratycznej",162,"5 - Socjaldemokracja Polska",89,"12 - Platforma Janusza Korwin-Mikke",49,"15 - Samoobrona RP",45,"1 - Ruch Patriotyczny",22,"10 - Polskie Stronnictwo Ludowe",14,"9 - Polska Partia Narodowa",13,"2 - Polska Partia Pracy",8,"13 - Ogolnopolska Koalicja Obywatelska O.K.O.",5,"11 - Centrum",4,"18 - Narodowe Odrodzenie Polski",2,"17 - Dom Ojczysty",1,"14 - Polska Konfederacja - Godnosc i Praca",1,"16 - Inicjatywa RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6 - Prawo i Sprawiedliwosc",1112
"Greece","Poland",2005-09-25,"Legislative",483,387,373,NA,NA,14,163,"8 - Platforma Obywatelska",96,"6 - Prawo i Sprawiedliwosc",34,"7 - Sojusz Lewicy Demokratycznej",25,"4 - Partia Demokratyczna",20,"3 - Liga Polskich Rodzin",12,"5 - Socjaldemokracja Polska",8,"15 - Samoobrona RP",5,"1 - Ruch Patriotyczny",5,"12 - Platforma Janusza Korwin-Mikke",2,"10 - Polskie Stronnictwo Ludowe",2,"11 - Centrum",1,"16 - Inicjatywa RP",0,"2 - Polska Partia Pracy",0,"9 - Polska Partia Narodowa",0,"13 - Ogolnopolska Koalicja Obywatelska O.K.O.",0,"14 - Polska Konfederacja - Godnosc i Praca",0,"17 - Dom Ojczysty",0,"18 - Narodowe Odrodzenie Polski",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6 - Prawo i Sprawiedliwosc",96
"Hungary","Poland",2005-09-25,"Legislative",323,293,290,NA,NA,3,126,"8 - Platforma Obywatelska",86,"6 - Prawo i Sprawiedliwosc",26,"4 - Partia Demokratyczna",15,"7 - Sojusz Lewicy Demokratycznej",11,"5 - Socjaldemokracja Polska",10,"3 - Liga Polskich Rodzin",4,"10 - Polskie Stronnictwo Ludowe",4,"12 - Platforma Janusza Korwin-Mikke",4,"15 - Samoobrona RP",1,"1 - Ruch Patriotyczny",1,"2 - Polska Partia Pracy",1,"11 - Centrum",1,"17 - Dom Ojczysty",0,"9 - Polska Partia Narodowa",0,"13 - Ogolnopolska Koalicja Obywatelska O.K.O.",0,"14 - Polska Konfederacja - Godnosc i Praca",0,"16 - Inicjatywa RP",0,"18 - Narodowe Odrodzenie Polski",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6 - Prawo i Sprawiedliwosc",86
"Iceland","Poland",2005-09-25,"Legislative",51,43,42,NA,NA,1,15,"6 - Prawo i Sprawiedliwosc",15,"8 - Platforma Obywatelska",4,"4 - Partia Demokratyczna",4,"7 - Sojusz Lewicy Demokratycznej",3,"5 - Socjaldemokracja Polska",1,"3 - Liga Polskich Rodzin",0,"1 - Ruch Patriotyczny",0,"2 - Polska Partia Pracy",0,"9 - Polska Partia Narodowa",0,"10 - Polskie Stronnictwo Ludowe",0,"11 - Centrum",0,"12 - Platforma Janusza Korwin-Mikke",0,"13 - Ogolnopolska Koalicja Obywatelska O.K.O.",0,"14 - Polska Konfederacja - Godnosc i Praca",0,"15 - Samoobrona RP",0,"16 - Inicjatywa RP",0,"17 - Dom Ojczysty",0,"18 - Narodowe Odrodzenie Polski",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6 - Prawo i Sprawiedliwosc",15
"India","Poland",2005-09-25,"Legislative",56,52,49,NA,NA,3,26,"8 - Platforma Obywatelska",7,"5 - Socjaldemokracja Polska",5,"6 - Prawo i Sprawiedliwosc",4,"4 - Partia Demokratyczna",3,"3 - Liga Polskich Rodzin",2,"7 - Sojusz Lewicy Demokratycznej",1,"10 - Polskie Stronnictwo Ludowe",1,"12 - Platforma Janusza Korwin-Mikke",0,"1 - Ruch Patriotyczny",0,"2 - Polska Partia Pracy",0,"9 - Polska Partia Narodowa",0,"11 - Centrum",0,"13 - Ogolnopolska Koalicja Obywatelska O.K.O.",0,"14 - Polska Konfederacja - Godnosc i Praca",0,"15 - Samoobrona RP",0,"16 - Inicjatywa RP",0,"17 - Dom Ojczysty",0,"18 - Narodowe Odrodzenie Polski",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6 - Prawo i Sprawiedliwosc",5
